name,category,top,psf1,psf2,notes,link
PARC VERA,,1/12/2020,0,1282,some notes,https://share.ecoprop.com/PARC-VERA/R065963D
PARC VISTA,,1/12/2020,0,1124,some notes,https://share.ecoprop.com/PARC-VISTA/R065963D
PARK COLONIAL,,1/12/2020,2106,2115,some notes,https://share.ecoprop.com/PARK-COLONIAL/R065963D
PARK INFINIA AT WEE NAM,,1/12/2020,0,2428,some notes,https://share.ecoprop.com/PARK-INFINIA-AT-WEE-NAM/R065963D
PARVIS,,1/12/2020,2280,2116,some notes,https://share.ecoprop.com/PARVIS/R065963D
PATERSON SUITES,,1/12/2020,0,2787,some notes,https://share.ecoprop.com/PATERSON-SUITES/R065963D
PAVILION 11,,1/12/2020,0,2053,some notes,https://share.ecoprop.com/PAVILION-11/R065963D
PEAK RESIDENCE,,1/12/2020,2547,2484,some notes,https://share.ecoprop.com/PEAK-RESIDENCE/R065963D
PINE GROVE,,1/12/2020,0,1028,some notes,https://share.ecoprop.com/PINE-GROVE/R065963D
POLLEN & BLEU,,1/12/2020,2155,0,some notes,https://share.ecoprop.com/POLLEN-&-BLEU/R065963D
PRINCIPAL GARDEN,,1/12/2020,1971,2268,some notes,https://share.ecoprop.com/PRINCIPAL-GARDEN/R065963D
Q BAY RESIDENCES,,1/12/2020,1366,1314,some notes,https://share.ecoprop.com/Q-BAY-RESIDENCES/R065963D
QUEENS,,1/12/2020,0,1552,some notes,https://share.ecoprop.com/QUEENS/R065963D
QUEENS PEAK,,1/12/2020,2064,0,some notes,https://share.ecoprop.com/QUEENS-PEAK/R065963D
REFLECTIONS AT KEPPEL BAY,,1/12/2020,0,1972,some notes,https://share.ecoprop.com/REFLECTIONS-AT-KEPPEL-BAY/R065963D
REGENT HEIGHTS,,1/12/2020,0,998,some notes,https://share.ecoprop.com/REGENT-HEIGHTS/R065963D
REGENT PARK,,1/12/2020,1156,0,some notes,https://share.ecoprop.com/REGENT-PARK/R065963D
RIDGEWOOD,,1/12/2020,0,1609,some notes,https://share.ecoprop.com/RIDGEWOOD/R065963D
RIO VISTA,,1/12/2020,0,1076,some notes,https://share.ecoprop.com/RIO-VISTA/R065963D
RIPPLE BAY,,1/12/2020,1444,1206,some notes,https://share.ecoprop.com/RIPPLE-BAY/R065963D
RIVER ISLES,,1/12/2020,0,1224,some notes,https://share.ecoprop.com/RIVER-ISLES/R065963D
RIVER PLACE,,1/12/2020,0,1413,some notes,https://share.ecoprop.com/RIVER-PLACE/R065963D
RIVERBANK @ FERNVALE,,1/12/2020,1605,1293,some notes,https://share.ecoprop.com/RIVERBANK-FERNVALE/R065963D
RIVERSAILS,,1/12/2020,1304,1324,some notes,https://share.ecoprop.com/RIVERSAILS/R065963D
RIVERSOUND RESIDENCE,,1/12/2020,1244,1267,some notes,https://share.ecoprop.com/RIVERSOUND-RESIDENCE/R065963D
ROSEWOOD,,1/12/2020,0,936,some notes,https://share.ecoprop.com/ROSEWOOD/R065963D
ROYALGREEN,,1/12/2020,2714,0,some notes,https://share.ecoprop.com/ROYALGREEN/R065963D
RV RESIDENCES,,1/12/2020,2298,0,some notes,https://share.ecoprop.com/RV-RESIDENCES/R065963D
SANCTUARY GREEN,,1/12/2020,1622,0,some notes,https://share.ecoprop.com/SANCTUARY-GREEN/R065963D
SANT RITZ,,1/12/2020,1731,1362,some notes,https://share.ecoprop.com/SANT-RITZ/R065963D
SAVANNAH CONDOPARK,,1/12/2020,0,1079,some notes,https://share.ecoprop.com/SAVANNAH-CONDOPARK/R065963D
SCOTTS 28,,1/12/2020,0,2394,some notes,https://share.ecoprop.com/SCOTTS-28/R065963D
